result
7769048
7700
41300
74500
73700
468800
155000
15480599
112900
24600
0
0
87600
6200
5000
58300
386800
195100
348020
269000
97615
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
32681
0
0
0
0
0
100
200
0
0
3000
2800
null
null
null
null
null
null
null
null
null
null
null
null
null
780580
3430367
300
11300
24000
0
35200
4000
8800
15300
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
1977479
0
39100
12000
94100
106900
69600
1148531
1100
200
5300
400
6200
null
null
null
null
null
null
null
null
null
null
1046257
3846687
0
12900
4000
2900
32300
50300
144200
31982
4867885
0
8000
150500
30800
198400
0
75300
23400
14700
10100
123500
null
null
null
null
null
null
null
null
null
null
null
263000
0
0
0
300
0
0
100
0
0
2200
4000
15400
10000
6632400
978000
0
360000
0
636100
103000
90100
25299
255286
0
0
0
0
0
0
0
9000
14400
8300
4700
0
2500
15000
44500
110100
52000
1246819
318429
196500
394400
178700
735300
253900
43200
null
null
null
null
null
null
null
4400
500
27900
100
5000
24400
318629
55000
145700
2794715
6738317
0
3000
0
86600
2800
4300
6500
3300
null
null
null
null
null
null
13600
0
0
0
0
null
null
null
238136
784932
15900
4500
400
24055
1500
9200
11500
1200
0
3400
1000
8400
15300
0
1000
0
30100
0
200000
456000
1079600
290000
0
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
20000
0
0
0
6000
145700
174036
24500
null
null
null
null
null
null
null
null
500
2900
200
12200
800
8100
5600
100
1700
0
10400
16000
14400
21700
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
708377
0
0
0
1800
0
0
7000
1639497
100
2000
0
49600
16700
77000
0
11900
33600
30000
11100
17161
3900
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
0
0
0
1400
5100
15963
6336
0
15300
20000
20500
6100
18942
2446199
4310450
0
0
0
20000
0
0
0
2600
8200
23700
17400
null
null
null
null
null
null
null
null
null
null
null
null
1567199
5339554
4800
46600
117500
1400
1400
31000
41900
null
null
null
null
null
null
null
null
null
0
0
500
30000
3800
32100
0
21900
null
null
null
null
null
null
null
null
54200
182950
0
0
0
0
0
10000
0
21100
0
9200
1926441
5937901
201500
5700
40000
189770
5400
15400
73900
90100
35400
80100
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
2050348
2862579
3300
300
600
0
null
null
null
49230149
125024634
11000
566455
4000
65900
4800
60300
50000
39700
0
51900
73800
135100
27000
null
null
null
null
null
null
null
null
null
null
0
5000
0
30000
931900
247800
552000
228300
612300
9505645
9751995
7800
0
0
805600
null
null
null
null
null
null
null
null
null
